user_name,rating,user_base,review,date_of_experience,date_written,photos,party
RangersFan1980,3,Sweetwater,"It probably is a lot better with the fountain going in the warmer months, but that didn't stop us from taking pictures. Best time to go is in the morning so the sun is behind you.",Mar-14,13-Mar-14,0,Couples
Tom A,5,"Port Deposit, MD","Well, took my wife to Philly for our Anniversary and we finally made it over to Love Park. Unfortunately, our Anniversary is in Winter so attractions like a park aren't at their peak attractiveness. It was fun, but we were immediately confronted by several people wanting to snap pictures for you, for a tip of course, but it makes you a little nervous to hand over your expensive camera to a complete stranger. It all worked out well though and we got some great photos.",Feb-14,07-Mar-14,0,Couples
JamaicanChic,5,"McGuire AFB, NJ",This place was a little park where u can take pics infront of the philly LOVE sign or take a splash in the fountain.. Its a must visit park if in Philly,Jun-14,03-Jul-14,0,Couples
Patti W,2,"Dallas,TX",Not sure why this is getting great reviews. We didn't even stop to go into the park. It looked like lots of homeless people and the love sculpture is not near as big as it looks in photos. Also very busy traffic area around there. So we just snapped a photo as we drove by.,Jun-14,30-Jun-14,0,Family
travelmom71717,5,"Birmingham, AL","Definitely worth a quick stop for some great pictures! The surrounding area is lovely too... City Hall across the street and all the super scaled ""toy"" playing pieces on the other square across the street are so fun.",Jun-14,23-Jun-14,0,Family
Lynn B,3,"Easley, SC","It was on my ""must visit"" list, but it wasn't overly impressive. It appears to have been neglected and overrun by skateboarders.",Mar-14,17-Jun-14,0,Family
savvysiren,5,"Washington DC, DC","This park never disappoints. It's just so relaxing, and you're likely to find hidden treasures, like artists showcasing their work. I went home with a terrific original painting!",Jun-14,15-Jun-14,0,Friends
TravelLover8098,3,"Del Rio, TX","Cool LOVE statue, but it's much smaller in person than I'd expected. Not the nicest side of town, and mostly young kids and homeless ppl in the vicinity. Luckily a policeman on a segue was on patrol. Huge fountain was spraying which mad it difficult to get a dry picture, but all in all it was worth the experience.",May-14,05-Jun-14,0,Couples
TBS13I,3,,"If you expect to see a park, there is none. Fountain in the middle of downtown which could be rescuing on the hot afternoons. Hold on to your purse and plan to see some more around.",Jun-14,02-Jun-14,1,
hldlovesthesun,3,"Bettendorf, IA","LOVE statue is much smaller that I expected. There is a water feature there to observe. Some garden planters with varying flora. Other than that...not much else. Worth a walk by on your way to something else, but not a destination.",May-14,29-May-14,0,Couples
COPhilly,4,"Philadelphia, PA",Great to sit and watch the water for a team meeting or just a break in the day!!! The sculpture is a lot smaller in person and the people watching and fountain are much more intriguing.,,28-May-14,0,
Iwa1975,5,"Philadelphia, Pennsylvania, United States","One of pleasant places to go and visit in CC Philadelphia. would definetely return there. It is a nice place for a stroll or place to relax, and lets not forget a pic by the LOVE sign.",Feb-14,28-May-14,0,Friends
Han L,4,"Jacksonville, FL","LOVE Park (JFK Plaza) is very iconic for Robert Indiana's art installation. The actual installation is smaller than I had envisioned. It's a great spot for taking pictures. The park is very lively and is utilized by all sorts of people; office workers, skate-boarders, tourists, etc. However, the actual park space is not that big. Even though it's a popular landmark, I don't think it's comparable to the Bean in Chicago in terms of size and space. For me, the park provided a nice recess from exploring the city all day. There was a street performer playing music while I was there. Overall, it's a convenient stop along the way to CIty Hall and Reading Terminal Market.",Jul-14,14-Aug-14,0,Solo
Heather B,4,"Lancaster, PA","Very iconic of Philadelphia. However, the actual statue is surprisingly small. Good for a photo, but other than that, it's nothing spectacular.",,09-Aug-14,0,
DanielHenrysson,3,"Karlskrona, Sweden","The sculpture was a bit of disappointment.I thought it would be bigger. I liked the huge fountain behind the sculpture more.

The park itself had lots of people sitting around and in the fountain. Some guys where skateboarding in the park as well.",Jul-14,07-Aug-14,0,Solo
jeffl499,4,"Alexandria, VA","The vibrancy of the crowds is a big draw for visitors to Love Park. The intriguing LOVE sculpture coupled with the fountain shooting water high into the air ensure a lively surrounding for everyone. There is a delightful variety of people who make up the crowd here so it is not a place to relax. Instead, choose this place to celebrate the joyful rhythms of life. A selfie in front of the sculpture is a must.",Aug-14,07-Aug-14,0,Solo
pcmanblr,5,bangalore,"Good place, but disliked the old Black Lady who thinks she owns the place and expects to be tipped by EVERYONE who so much as goes within 20 feet of the water fountain. Just ignore her and you will be fine !! ( Not Fined ;-)) )",Jul-14,06-Aug-14,0,Family
Ashwin Jain,4,"Hyderabad, India",A quick view while walking through is definitely a stress reliever. Water Fountains definitely make you feel better and the way LOVE is displayed definitely brings upon a smile.,Jul-14,04-Aug-14,0,Solo
Karuna_AE,3,"Philadelphia, PA","It's not a bad place to visit when you are around downtown seeing other places but on its own, it really doesn't offer much. Just drop in, take a pic in front of the LOVE sculpture and move on to your next destination. The fountain was moderately clean and the people around seemed harmless enough.",Aug-14,04-Aug-14,0,Solo
Madga_petee,3,"London, UK","I was expecting more. Fountain was clean which based on other reviews, I got lucky. There was a lot to do around the park but was somewhat disappointed with the park itself.",,31-Jul-14,1,
BigWash,3,"Orlando, FL",It's a busy park with homeless people and children playing in a dirty fountain?! I really do not see what all the hype is about... Just my opinion!,Jul-14,19-Jul-14,0,Friends
HpMatias,2,"Lisbon, Portugal","You can see many things around the park, that are very interesting, but the park doesn't offer much to see besides the sculpture.",Jun-14,16-Jul-14,0,Couples
Dee_Dubb_07,4,"New York City, NY","It was very relaxing by the water fountain and the landscaping. We didn't see any homeless people when we went. The statue was a bit smaller than I anticipated, but it was great seeing an iconic landmark. On the first day we were the the water was green, then after that it was normal color. We're not sure what the significance of the colored water was, but it was pretty. Good place for a photo op.",Sep-14,16-Sep-14,0,Family
puretexan1984,4,"Leander, TX","We went here after a stop at the Rocky statue where we were basically harassed by some homeless dude to let him take our picture. He wouldn't let us say no, so we caved. Anyways, the Philly Phlash dropped us off here and we were surprised to find the same homeless dude here! (I guess they move around frequently). This time, we told him we didn't have anything else to give him. He told his wife, ""Tweety Bird,"" that we already gave them something so she could take our picture for no cost (how generous). The statue itself was smaller than I expected, but a great photo op. There was a nice fountain behind it. Tweety Bird took great pictures, but I'm still really annoyed that they were so persistent. I feel like it's a common problem in Philly and that the police should really do something about it so the tourists feel safer. So, go get a picture here, but only take $1. (When we rode past this the next day, the same homeless people were there hitting up tourists)",Sep-14,14-Sep-14,0,Couples
phillycww,2,"New York City, NY","This park is nice to see during the day, especially to see the famous Love statue. I would not go there at night though.",May-14,10-Sep-14,0,Family
Eunice H,5,"San Diego, CA","don't go there after dark, many homeless people hang out there at nigh and I don't know if they're dangerous or not but sure scary.",Aug-14,05-Sep-14,0,Friends
takeitallin14,4,,"Just as a heads up, make sure you ask another tourist to take your photo while here. There are plenty of very engaging people who will offer to take your photo for you....then want a ""donation"" of a dollar or two for helping. It is relatively small, and there's nothing really else in the park.",May-14,24-Aug-14,0,Friends
morganlily,3,"Saint Louis, MO",cute little park (jfk park) located near city hall (which is gorgeous!) . the love statue is surprisingly small . very under-whelming,Aug-14,20-Aug-14,1,Friends
Yarril,3,"Hamilton, Bermuda","The size of the LOVE sculpture was not as big as I envisioned it to be. A park good for pictures - Other than if you are lucky and have enough time, there's music and other art/culture performances at noon.",Jul-14,18-Aug-14,0,Friends
Josh W,2,"Missoula, MT","The Love sculpture was ""iconic,"" but lacked anything else. Lots of homeless people at the fountain ""park"" and bothering everyone to give money... If passing by stop, but other wise you are not missing anything special.",Sep-13,16-Aug-14,0,Friends
De Vaughn E,5,,"This park was simply beautiful. On the day we visited, the water was blue. The Philadelphia park association was having a dance in the park, people were listening to music mixed by a DJ. While another parks person was leading everyone. At first they were doing a hustle, then they switched to a step. The main reason we were there was to take pictures at the Love sculpture. This was a great place to be. The blue water shooting up in the air from the fountain was visable from the famous ""Rocky Steps"" at the Philadelphia Museum of Art.",,16-Aug-14,0,
Michelle R,3,"Batavia, NY",I wasn't sure what to expect when I went to see this--figured it would be bigger. Nope it was kinda small and a bit disappointing,Aug-14,16-Aug-14,0,Family
VirginiaLove2Travel,4,"Virginia Beach, VA","We stopped here (was one of the stops on a tour we were taking) mainly to take our picture by the LOVE sign. There are folks walking around offering to take your picture; however, we just asked the people behind us to take our picture and we took a few for them. Go earlier in the day because the sun moves and the sign loses some natural sun light. The one thing I thought was nice is that a line forms so when it is your turn, no one else is in your picture. We didn't spend too much time here but look around as the architecture of the surrounding buildings is beautiful.",Oct-14,17-Oct-14,0,Couples
Katie C,5,"Niagara Falls, Canada","There is usually a person there offering to take your picture at the LOVE statue with your camera for you. As a couple it was great to have someone offer to do that instead of having to ask someone. All you have to do is tip them $1. It is worth the buck, because they will take 3-4 pictures of you telling you to do different poses, the pictures are funny. Just do it, don't be cheap. Its a buck & they are so nice.

The park is a close walk to the liberty bell/Independence Hall.",Oct-14,14-Oct-14,1,Couples
TXMARTINS,4,"Denver, CO",We stumbled upon this park while walking around downtown and its a cute little area that they have cleaned up with a gorgeous fountain perfect for pictures. The small LOVE statue is the main attraction as a line was formed to take pictures so allow for a few minutes if you would like one. Beautiful downtown buildings and architectures surround the park.,Oct-14,12-Oct-14,1,Business
sacredphi,3,"New York City, NY","I was passing through the area and unintentionally saw this park. A huge pink water fountain and the much smaller LOVE statue was the attraction. I personally like water to be clear, like nature intended. The floor tiles were shaky to walk on.

It was nice to see it, but it was not inviting enough for me to stop. Average at best. I would only recommend it if you want to take a picture of the statue.",Sep-14,03-Oct-14,0,Solo
Wilson A,4,,"Basically just a place to take photos and relax. Cute park near City Hall, the fountain is beautiful when it's on. Don't be surprised if you see homeless people penny pinching in the water.",,30-Sep-14,0,
Josh M,4,"Nashville, TN",Nice little park tucked away in downtown Philly. It makes for a great photo op. Nice fountain and skyline backdrop. Great mix of people and enjoyed having some food trucks nearby. The view from the park down Benjamin Franking Parkway to the Museum of Art is spectacular with all the green trees.,Aug-14,22-Sep-14,1,Couples
LuNabuco,1,"Boston, Massachusetts, United States","there is nothing to see! the ""LOVE"" sculpture is really small!
At the park you gonna meet a lot of homeless people... :( it's not a fun place to stay)!

If you are planning to walk around can be a stop for 10 min at least!",Aug-14,21-Sep-14,0,Couples
mikea168,3,"Fort Lauderdale, FL","If visiting Philly, you have to see it. Go during the day and beware of the scammers & crazies. Occasionally there are radical protestors, just use common sense & watch surroundings.",Sep-14,20-Sep-14,0,Couples
mandy l,5,"Saint Paul, MN","Haha...small park downtown Philly that I have wanted to get to since I first saw a photograph of the LOVE sculpture! Water fountain, skateboarders, food trucks, too! When if Philladelphia, get here & take a pic, then head down to Reading Terminal Market & get your eat on~ yum. That review is next. :)",May-14,17-Sep-14,0,Family
Vicky B,4,"St Margarets, UK","It's true there isn't a lot to do here other than sit by the fountain or have your photo taken by the 'Love' statue but sometimes that's enough! At the end of a long day sightseeing it was a place to go to reflect, feel the cool spray from the fountain and watch the world go by. There are some characters there but I never felt threatened, even on an evening when a peaceful demonstration was scheduled with police presence. I will always remember it as the place my son wanted to go to whilst we had 3 days together before the start of his year at Temple. Happy times!",Aug-14,17-Sep-14,0,
Eaglepack,3,"Wellington, FL","I love the city of Philadelphia and have been there many times and seen a lot of the sites, but I don't get Love Park. I've passed by it on the way to other sites, restaurants and just ran by it during the marathon. It's a small park in the center of downtown with the Love statue in it. I get the statue is iconic, but that's it. There's nothing else to see there and as some of the other reviewers have mentioned there's a lot of homeless people that hang around the park.",Nov-14,26-Nov-14,0,Couples
nilsthulin,5,"Karlskrona, Sweden","IT is amazing to sit down and watch the skaters practiceing all kind of diffrent jumps on their skateboards.The park has perfect ground for doing skateboard moves, we sat there for one hour just watching....",,15-Nov-14,0,
Shannon K,3,"Utica, NY","We walked here and it was nice to see. I took a quick picture and got the heck out of there! Too many bums/homeless, it is sad to see and the smells are overwhelming!",,13-Nov-14,0,
aquestforbeer,4,"Calgary, Canada","Seriously, no other spot is as famous than the LOVE statue. Walking distance from City Center, great spot for a selfie or a group photo and en route to the Rocky Statue",Sep-14,07-Nov-14,0,
Christina W,3,"Richmond, VA","When we went to Philly I had to see the LOVE statue and fountain. Once there, I questioned my decision to bring my kids. Plenty of tourists but also a lot of homeless people, obnoxious teenagers with foul mouths, and people dressed up trying to get tips for taking your picture. One guy was dressed as Jesus and getting paid to have his picture taken with tourists. I'm glad I can say I saw it, but I certainly wouldn't go again with kids.",Jul-14,03-Nov-14,1,Family
The_Sal_Paradise,1,"Brookville, PA","The photo linked to this attraction is the one commonly seen when watching sporting event, or any advertisement for Philadelphia. However, in reality, it is nothing more than a homeless camp. People sleeping on benches, aimlessly walking around asking for change, or mumbling to themselves. Treat yourself to a walk through the park and count how many objectionable odors you can detect throughout. There will be some that you never new existed.

This park is overrated and should be an embarrassment to the city. It is filthy and a place I would certainly not recommend, especially at night.",Sep-14,28-Oct-14,0,Couples
Obake14,3,"Newton, MA","This was a beautiful spot to enjoy and take pictures, but I was very disappointed in the actual size of the sculpture. Pictures lead us to believe that the ""Love"" was much larger than it actually is.",Oct-14,24-Oct-14,0,Business
Pradeep T,5,,"A wonderful and peaceful place in busy place. Nice fountain, Love art work and pleasant place to sit and jut relax. nice breeze with moisture which can drench you completely what else you want when you are with your loved one",Sep-14,24-Oct-14,0,Couples
armysgt1981,5,"Downey, CA","Love Park is more of an intimate spot where people can sit, lay down, relax, and admire the sights and sounds of the water fountain. I was able to sit down and relax and enjoy the breeze omitting from the fountain, plus it was such a beautiful day outside. I admire fountains and admire them even more if they are sophisticated. Love Park is a place to be to hang out for a while and relax.",Sep-14,20-Oct-14,2,Solo
Sherry H,4,"Levittown, PA",This is a great place for fun photos and sight seeing...and with the fountain pink for breast cancer awareness month...it was even better!!!,Oct-14,20-Oct-14,1,Friends
ricky2246,4,"Glen Mills, PA","In its Kristkindtmarkt incarnation for the holidays, Love Park sparkles, especially at night. This is a stop that should be included during your Philly Christmas tour. Make sure you catch the Macy's light show in the old Wanamaker building, meeting friends under the eagle.

Since it was chilly, we grabbed some coffees from the local shops and took in the atmosphere of the center of city hall, bustling with workers leaving for the subways and trains. But in the outdoor atrium, there was holiday music and a tree from Delaware County all decked out in its Christmas gear. The modern tables and chairs along with the magnificent architecture hinted of sidewalk cafés in Paris. We were in the middle of an island of calm.

Then take in the top of city hall, 22 stories high, under the blessing hand of the 32 foot tall, 54,000 thousand pound statue of William Penn. The trip is times, limited to four persons due to the tiny elevator and costs between $4-8, depending on your age. The ride up, seeing the innards of the building was worth the price of admission. Fantastic girders and stonework, and views could be caught through the glass walled elevator. Children and seniors get a discount. We caught the skyline just at dusk, and Philadelphia looked magnificent. All of us, residents of this region for decades were so proud of our city.

Then, back to Love Park for a bite to eat. We strolled past the newly installed ice skating rink and watched families having fun. The redesigned plaza is so much more inviting and friendly than the old one, with landscaping, and seating, and a little bistro. But onto the Christmas market. Yes, the food is overpriced, but authentic. My favorite is lebercase (hot bologna on a bed of potato salad) and the bratwurst. You definitely get the feel of being in the German festive atmosphere. Then we strolled through the shops, and stopped by Kathie Wohlfarht for our annual fix of genuine German crafts. Yes, it is all overpriced, but having been at the original store inGermany, it was over priced there as well. I did some shopping and thought it is a lot less expensive than a round trip flight to Germany.

We all left with a genuine appreciation for the city space from above and on the ground. This place is good for all ages, if you want to catch a whiff of something special!",Dec-14,12-Dec-14,0,Friends
TouristTrap9597,3,"New Castle, PA",Parking is underground under Love Park. $14 to park. The Christmas market was free though. Not what I expected at all. Overpriced German (WAY overpriced) but beautiful to look at. We had the grilled cheese sticks and the chicken kabobs. They were both fabulous. The market though was a complete disappointment. Sad. So we headed to Bethlehem's Christmas Market.,,11-Dec-14,0,
Mike P,4,"Orlando, FL","I was going to stop at Love Park for a picture so that I could send it home, but my visit ended up being so much more. During the winter they have a German Christmas theme set up with a bunch of little vendors in make shift stores. There were a lot of hand made items and my favorite…German food. Pretzels and other treats which are very difficult to replicate authentic were available. I had planned on only stopping for a short time, but spent almost an hour in that small block. The city did an excellent job of organizing a great event.",Dec-14,10-Dec-14,1,Solo
Robert L,3,"Amherst, MA","My adult daughter and I went to Love Park while the German Xmas Market was in full swing. Love Park itself is not worth going out of your way unless you happen to be in the area. However, the Xmas market was really good. Good spiced wine, different foods, and an impressive variety of decorations and wooden displays imported from Germany.",,10-Dec-14,0,
NJReveler,5,NJ,"Visited the Christmas Village. Unfortunately it was raining so we didn't really get to appreciate it. Love the German theme. Lots of shopping. Wish I could have stayed out in the rain longer, but my feet were soaked. Loved the large tent with all the Christmas ornaments! Lots of fun. Didn't eat any food however it smelled amazing!!!",Dec-14,09-Dec-14,0,Friends
Wildmanjc,5,"Linwood, NJ",I highly recommend spending some time and money at the market if you are visiting during the holiday season. German goods as well as something for everyone. They also had a live band and plenty of good food and drink choices.,Dec-14,07-Dec-14,0,
rothgargeert,3,"Harrisburg, PA","Visited the Christmas Village and the food and drinks were great!!! From Belgium waffles to churros, everything was tasty. Lots of hand made items that were interesting. Went to the German ornament store and they are way overpriced. The Love sign was tiny though. I've been to Philly now several times since I'm close by and this was only one of two where my fiancee and I were harassed by either homeless or those homeless that were trying to sell something. One guy yelled at me from far away to come and buy something and I ignored it. However, the guy who harassed my fiancee by catcalling got an earful when I went up to his face and told him to shut up and get some teeth (he was missing a lot of teeth). Homeless don't bother me, but they're an issue when they harass others for no reason. Police were there, but were ignoring the homeless completely. Overall, it's nice to visit the city, but you have to be aware of your surroundings.",Nov-14,30-Nov-14,0,Couples
LalaMags,4,"Liberal, KS","The Love sign was a little smaller than I thought it would be (isn't everything ha ha?) but still a great photo-op and nice to visit. We loved shopping at the ""Christmas Village"" and got some decent deals & fun food & beverages. We also had fun across the street taking pictures with the giant board game pieces (Sorry markers, Monopoly pieces, dominoes, etc.).

Since the Christmas village was there we spent a couple of hours walking around, shopping, taking pictures, etc. but I'm not sure if you'd need that much time if the village wasn't there (it's seasonal only). It's worth stopping to see if you have the time.",,30-Nov-14,0,
lhamilt77,3,"Philadelphia, PA","Apparently I got the Philly sign mixed up with the one in NYC b/c it's about 1/3 of the size :-/ But it's nice because you can stand under it rather than next to it. Note: ""self employed"" photographers will offer to take your pic on your cell...and then ask for a tip after. I can't knock the hustle, I was fine giving a couple bucks because she actually got some good angles!

We went during the Christmas Market on Saturday. A bit congested, we were in and out!",,29-Nov-14,1,
CarolTCK,3,"Manassas, VA","This wasn't quite the green park I envisioned, but it was still neat to see such an iconic site. We stopped here to take a few pictures on our way to the historic center, which is about all the time it takes to see. Unfortunately the fountains were turned off on the day we visited, and they would have probably added some more charisma to the scene. It's nice to see, and won't take too long. Worth a quick stop.",Nov-14,27-Nov-14,0,Family
Ils8183,3,"Long Island City, NY","The love park is cute and fun to take pictures at, and when the weather is nice it's fun to walk around and be touristy.",Jan-15,19-Jan-15,0,Friends
jesicams,5,"Ambler, PA","Beautiful, fun event for Christmas shopping. There was a choir singing and lots of vendors selling anything you can think of! It's a short walk to the Comcast Center to see the light show.",Dec-14,13-Jan-15,0,Friends
DeetheCSC,5,"Endicott, NY","We came upon this by accident, but we were so happy we did! We got last minute ornaments and gifts and some things for ourselves we couldn't resist! Santa was there one day, and Jesus was there the next. See the fans who show up?? If we could have stayed for another day, we would have returned again; it was that much fun!",Dec-14,26-Dec-14,0,Friends
gmorganHamburg,1,"Lenhartsville, PA",I had brought my wife who is from Ohio downtown to see the lights so we stopped at love Park for the Christmas village it was a bunch of shops ( sheds) selling homemade jewelry that was very poorly made and little crafts I would not go out of my way again to see it again,,22-Dec-14,0,
tallgaloot,3,"Maple Shade, NJ","Have been a few times. Most recently for a Christmas craft fair. If you're not from the city, it's neat to look at. The Love Statute is kind of an icon for Philly, so grab a photo and then check out City Hall or whatever.",Dec-14,22-Dec-14,0,Family
scap3goat,5,,"I had lived in Munich for about 3 years before moving to Philadelphia and I was greeted with this market a week after I made the shift. It has a total German feel about it (including German sweets, drinks and food) and there is the America spirit rolled in.! Awesome place to spend an afternoon.. :)",Dec-14,20-Dec-14,0,Friends
Tishia A,5,"Knoxville, TN","One of my favorite places to be in Philly. I absolutely love the statue, and the fountain is beautiful. It is in the heart of the city and just refreshing.",,17-Dec-14,0,
StevenLL,4,"Elkins Park, PA","Christmas Village is something you should see at least once. This was my second time there as I took an out of town guest. The parking lot below is difficult to find if you are coming the wrong way on the street. However $14 is not so bad to park since the Village entrance is free (you have to go to the information booth to get the $14 price). Be sure to dress warm as it is very cold walking for an hour or two most of it outdoors - hat, gloves, etc. are in order. Items are very high priced so be prepared for this if you want to make a purchase. My gripe is the ""park"" area that the Village is on. It has always bothered my that the marble stone that you walk on are not secure and loose and as you walk they shift. Also look forward when you walk as the area has constant ledges and steps. I have to believe in all of these years that there have been accidents with falls at this event. Another thing I noticed was that there was no police presence in the Village. Suburban events almost always have assigned police officers which is something they should talk to the police department about. If there were any assigned inside the Village they were not seen by myself or guest who were there for about 90 minutes.",Dec-14,17-Dec-14,0,Couples
jmonson,4,"Lancaster, PA",Explored Christmas Village set up at Love Park in Philadelphia today. It was a fun holiday event to enjoy. Lots to lovely craft type things to look at. A stop at the wandering waffle that was covered in strawberries and served with chocolate dipping sauce. Worth at least a look.,Dec-14,12-Dec-14,0,Couples
Jono L,3,"Wellington, New Zealand",I don't see what you would do here without the Christmas fair. It's just a large concrete area. The Christmas fair was nice though.,,12-Dec-14,0,
Jessica C,5,"Sterling, VA","I have seen far too many reviews on here about it being a let down or not what you expect... Please realize that you are going to see a sign that says LOVE in the middle of a park. THAT IS IT! It is exactly as advertised and you will get no more and no less!

I think it is a must see. Classic photo op for the city of brotherly love. It is close to many other attractions and it doesn't take long.

FYI.. There was a woman there offering to take pictures for your group.. It is not required and she not work there. She just asks for tips. We took her up on her offer and she was fun. She took a couple of pictures of us with fun poses and she was kind.",Apr-15,06-Apr-15,0,Friends
Craig R,5,"Washington DC, DC","What more do you need?

Great must do experience in Philly. Looks down towards the iconic Philadelphia Museum of Art, beautiful walk from LOVE to all that art along the way.

I stop and take a photo every time I'm in town. No photo is ever the same.",,05-Apr-15,0,
bree416,3,"Columbus, OH","We stopped by because we were in the area and figured it would be a good opportunity to take pictures. We still took pictures, but I had a very disappointed friend who uttered the sentence, ""This can't be it."" It is much smaller than what we had in mind, which is our own fault of course. However, I would not go out of your way to stop by.",Mar-15,23-Mar-15,0,Friends
Brent B,5,"Grosse Pointe Woods, MI","Nice little park with a good theme for popping ""the question"" and taking pictures! She said yes so of course I'd give this place 5 stars! Not too far of the path of things to see. We had a nice time in Philly!",,10-Mar-15,0,
SIlentThunder1642,4,"East Amherst, NY","Not a lot to do here during the winter, but the ""Love"" sign is a great photo spot. The sign was smaller than we had anticipated, but we had no other issues here.",Mar-15,09-Mar-15,0,Couples
Missfalso,3,"Landover, MD","If you are ever in the city, this is a great place for a picture. There is a parking garage right below the park. Afterwards, take a walk to the Liberty Bell. However, take the Philadelphia Phlash Transit Loop bus back to get dropped off right in front of Love Park.",Nov-14,02-Mar-15,0,Friends
BAJ75,1,,"This place is a toliet. All the homeless use it as a restroom, the skaters have torn the steps all up, and then there are the rats. The sign is small and not worth your time. I'm embarrassed that tourists come to this city and see this, I'm downright disgusted with how the city keeps it.",,01-Mar-15,0,
Sowmya_Halady,5,"Charlotte, NC","My Husband and I were strolling around Philadelphia streets on a Saturday Evening. We had heard so much about this park, and were not disappointed. The night was chilly, so there were hardly 7-8 folks around the park. It was a beautiful place. The art was much smaller than what we could see on photographs. A passerby offered to click a photograph for us.",Jan-15,25-Feb-15,0,Couples
Jessica D,5,"Montreal, Canada",Glad we stopped here. We got the perfect picture. It is really pretty with the water fountain behind it.,,19-Feb-15,0,
Tracey P,4,Castle Hayne,"Glad we stopped here. The cool statue with the water fountain behind it seemed to be a popular attraction, several homeless people hanging around anxious to snap a pic for tourists for a small fee. :)",Jul-14,28-Jan-15,0,Business
Maria Eugênia C,3,,"There is a fountain behind the ""love"" that got us really wet while taking the picture! I didn't really explore around the park cause I was only focusing on taking that picture. Nearby, there are some big pieces of games like chess. It's cool to see.",Jun-14,26-May-15,0,Friends
Katy C,3,"Fort Smith, AR","We went on a sunny Saturday, and had the same experience reported by other TA users of homeless people taking your picture for ""tips."" The two there were arguing with each other about the system for who got which tourists, which was a nightmare, and they had taken it upon themselves to organize who got to go up to the sign and when. If you don't mind ignoring them and refusing their offer for their ""services,"" take your quick pictures and move on. The rest of the park is pretty neat as well.",May-15,25-May-15,0,Family
ashep2,3,"Mount Sterling, KY",We went to get our photo in front of the love statue. It was a nice day so it was pretty crowded. We waited in line for a few minutes while 2 guys were taking people's pictures for 'tips'. This is not required! We took our own picture for free. So just be aware. Wouldn't want to be around this area after dark.,,24-May-15,0,
MsDrTurtle,4,"North Liberty, IA","It's superbly located, and you can take fun pictures (beware of opportunists that ask you if you want them to take your picture and then ask for money!). Other than this, take a break from your tour and eat a sub with both feet in the water :)",May-15,21-May-15,0,Couples
molecular_4u,4,"Brisbane, Australia","I have memories of seeing this piece of art reproduced on T shirts for the last 30yrs. I was excited to see the original piece of art in a public space in Philly.
This city is amazing with public art spaces around every corner.
The big tick of approval from me.",,19-May-15,0,
TheValleytoTheWorld,5,"Santa Monica, CA","Cute and iconic sculpture in Philadelphia.

Be aware of local hustlers offering to take your picture then demanding money.",Sep-14,11-May-15,0,Family
Rumples,3,"Tucson, AZ","We stumbled on this small park, which has the official name of John F. Kennedy Plaza, when walking to the nearby City Hall. The space earned the nickname ""Love Park"" after a sculpture by Robert Indiana was installed here for the 1976 bicentennial. This sculpture displays red letters LO over VE on a pedestal. It seemed to be a small insignificant work to me, so I became curious about why visitors had formed a short line to photograph it.

I learned later that the sculpture is a favorite photo op in the city with the park's fountain and city buildings in the background and is connected with skateboarding history.The curved granite steps leading down to the fountain attracted skateboarders from around the world in the past and was featured in various magazines and films. But skateboarding has been banned here for years.

Those interested in Philadelphia's more recent history and a photo op may find this to be a worthwhile place to stop. A city welcome center stands at one end of the plaza.",May-15,09-May-15,0,Friends
Agnieszka G,5,"Witney, UK",Brilliant photo spot and a nice play to chill on a hot sunny day. The fountain offers refreshing breeze which is nice on a hot day in a city. There are lots of gorgeous blooming trees which make the place look even more special in the spring.,Apr-15,09-May-15,1,Business
Brown_Samantha,4,"Kennewick, WA","Very small, but the LOVE spot is definitely a great photo stop. On a sunny and warm day, it is nice to have the fountain water spraying. Great people watching place too. Be sure to walk 360, to get multiple photo angles: one to the City Hall, and the other down the route all the way to the Philadelphia Art Museum steps.

This was not a let down, it was exactly what we read about, seen images of. You get exactly what this was described to us. Make it part of your wonder walk in Philadelphia! People always smile when they pose under the LOVE statue.",May-15,03-May-15,0,Couples
jb08075n,4,"Philadelphia, PA","In the mid-1980's a group of young people discovered Vincent Kling's curving steps and ledges to be perfect for skateboarding. It was the combination of the different levels and curves, continuous granite surfaces, and the large space for sessions that attracted skaters. Gradually LOVE Park's reputation spread around the skateboard community as skateboarders from all over the city and surrounding suburbs flocked to LOVE Park. Its close proximity to all major subway and regional rail lines made LOVE so easily accessible to all. All of these factors led LOVE Park to become an icon for the city's youth community. In the early 1990's, with the rising appeal of urban street skating, many of the world's most talented, professional skateboarders decided to make LOVE Park their training grounds. The space quickly became known internationally as one of the finest skate parks in the world and later the “World Capitol of Skateboarding.” Tourists came from all over the world to see and skate the famous skate spot. LOVE Park in this period was featured in every major skateboarding/action sports magazine and was showcased in films by all of the major players of the industry. There is even a popular video game featuring skateboard LOVE Park. In 2000 and 2001, LOVE Park's vast fame brought ESPN's X-Games to Philadelphia. The X-Games brought millions of dollars in tourism and was watched by 150 million households worldwide. Its events and publicity all focused around Philadelphia's skateboard scene, LOVE Park in particular. LOVE's international reputation as an ideal skateboarding locale has been strengthened by the successes of some its most famous users. Internationally known professional skateboarders like Ricky Oyola, Josh Kalis, Stevie Williams, and Anthony Pappalardo made their names in the multibillion-dollar skateboarding industry by being identified with their frequent use of LOVE's famous ledges and stair sets.
While it is now illegal to skate there, many still do. If you get a chance go there and see it! It is history!",Mar-15,26-Apr-15,0,Family
