user_name,rating,user_base,review,date_of_experience,date_written,photos,party
LoveParkLady,4,"Philadelphia, PA","Love Park (actually formally named JFK Plaza) is a popular and iconic spot in Center City Philly. It is directly across the street to the east from Suburban Station, a rail hub, and there is a parking garage directly beneath the park. There is also a Philly Phlash bus stop on the south side of the park, where visitors can board and ride to a myriad of the city's most famous destinations for a small fee. (The bus runs from April to the end of October.) The City Hall subway stop of both the Broad Street and Market Street lines is right across the street. Bounded by 15th and 16th Streets and JFK Blvd. and Arch Street, diagonally to the northwest from City Hall, it is a place where Center City residents and workers enjoy sitting during lunch hour, where people-watching is a favorite pastime, and where all sorts of interesting --- and yes, sometimes unsavory --- things happen.

During the summer, there are noontime concerts of all kinds, from DJs playing dance music that has passersby stopping to join in the dancing, to cool jazz or folk. There's always something to listen to and enjoy. The water in the fountain is often dyed different colors for different causes. It is a great spot to people-watch, read, walk the dog, or just look at the summer flowers.

The view of the Benjamin Franklin Parkway and City Hall from Love Park is pretty spectacular; you can see all the way up the Parkway to the Philadelphia Museum of Art, and, in the opposite direction, you can view the gorgeous City Hall's magnificent architecture. There are photo opportunities at every turn!

Skateboarding is prohibited in the park now, but this law is pretty much ignored, as young skateboarders are there when the crowds diminish. On weekends, and especially during the winter when the fountain is turned off, skateboarders abound, and they are fascinating to watch.

There are many homeless people in Philadelphia, and some stake their spots at Love Park. For the most part, they are harmless and do nothing more annoying than panhandling. I would not suggest walking through the park after dark unless there are a lot of other people there, as it is not particularly well-lit at night and there is not a strong police presence most of the time. But the park is generally safe.

From Thanksgiving until Christmas Eve, the park is home to the Christmas Village, a lovely little German-inspired village of vendors' huts, with everything from German chocolates and local honey to handmade goods and artwork.

There is also a year-round information and souvenir building on the site. It is round and looks like a flying saucer. There are green, grassy areas for lazing, cafe tables and chairs by the information building, benches, trees,and beautiful flower gardens throughout the park. There are varying levels in the park and it isn't particularly wheelchair friendly, except right at fountain level (entering from the 16th and Arch Street area), or by entering at either 15th or 16th and JFK Blvd. and not going down to the fountain level, although there are plans to revamp and make it more handicap-accessible in the near future.

Love Park is close enough to the big tourist destinations in the city --- the art museum, the Rodin Museum, the Museum of Natural History, The Franklin Institute, Reading Terminal Market, and Rittenhouse Square --- that it shouldn't be missed.",Nov-11,30-Nov-11,0,
TravellinGretz,2,,Growing up in the 80's and 90's skateboarding I was excited to finally go see the iconic Love Park. While it still looks the same as remember from the videos it feels dead. When I was young I would have done anything to go visit this park and watch and feel the electricity in the area. Now its just a area for homeless people and their waste. Shame on the city for letting this happen. They had a chance to put skateboard guidelines in place to keep the youth in the are involved and keep the area alive. Now it is scary at night and scary in the day as well. Hopefully the next time my family goes my kids can skate there hassle free. Come on Philadelphia either clean it up right or give it to a group of young people who will take care of it.,Dec-10,21-Nov-11,0,Friends
PatN843,2,"Malvern, Pennsylvania, United States",The locals and the Occupy Philadelphia crowd makes this place scary,Sep-11,12-Apr-12,0,
Love2Wrestle,2,"Wilmington, OH","I found the sculpture after walking around city center doing some exploring. I honestly thought it was a copy or some like that, because it so much smaller than I anticipated. I don't mean to be overly negative, I guess I just expected something more iconic. Since this was my first visit to Philly I am glad I saw it but I wouldn't go out of my way to see it again. Philadelphia has some great outdoor art, this certainly wasn't one of my favorites.",,02-Apr-12,0,
tehunej,4,"Philadelphia, PA","Great park, even though they don't allow the skateboarders or occupy folks there anymore. It was way better when it was a more liberal place",Oct-11,02-Apr-12,0,
HatesBaggageClaim,3,"Philadelphia, Pennsylvania","Awesome view of City Hall and the Art Museum, too. Walking Distance from Rittenhouse Square and Reading Terminal (but they're in opposite directions).",,21-Mar-12,0,
smack25,3,Southern New Jersey,Unsafe and unclean....plenty of better parks in the city.,,21-Mar-12,0,
Jim_Naughton,4,Philadelphia,This used to be a great place to hang out on a summer afternoon and enjoy a spot of people watching while having a brown bag lunch. Then the skateboarder crowd showed up and it became a cool place to watch kids do their thing. Ar-t Christmas time it is a huge open air Euro-style market. Now it is populated by down and outs as the sun sets and you can;t help but find yourself scratching yourself after rising from one of the benches. Hinky. Yuk. I rate it very good because of its sight lines and because I have Hope as well as Love for my town. This needs to bounce back.,,13-Mar-12,0,
Rogersjk,5,New Jersey,This is a great spot to start exploring the Parkway Museums District.,,13-Mar-12,1,
KatyTravels,3,Philadelphia,Nothing to do here other than take the iconic picture - but that is the exact reason you visit.,,05-Mar-12,0,
KristaLeeH,5,"Burlington, CT","So much fun! :) I wanted to go here for the famous Love Statue but there was so much more to see than I expected! Right across from the Love Statue there was a plaza with all sorts of fun statues from dominoes, monopoly, chess, bingo, etc. Great place to take fun pictures! Absolutely recommend taking a walk through it while you're in the city.",Feb-12,28-Feb-12,2,
Rebecca F,4,"philadelphia, pa",Best seen at night when crowds are thin and few. Also the christmas village during the holidays is a must.,,07-Feb-12,0,
Erin C,5,"Philadelphia, PA",Great views-- and iconic. Tourists shouldn't miss out on this!,Apr-12,22-May-12,0,
AllyBeeds,3,"Bucks County, PA",I like this park. It's great people watching and a very nice place to lunch in the nice weather.,May-12,21-May-12,0,
Dream29706,5,,If you're in Philly check out the Love Park. I also love the oversized game board pieces. Both sites make for great pictures!,May-12,19-May-12,0,Friends
Larry B,3,"Elmer, NJ","If you want to see the iconic ""love"" sculpture then come, not too much else in this park, but not that far out of way from downtown philly.",Jun-11,16-May-12,0,
Pretty U,5,"Upper Darby, PA",it was fun...... n i love taking pic there........,May-12,14-May-12,0,
Bill S,3,"Boynton Beach, FL","When you work in center city, its nice to relax at lunchtime in love park.",,11-May-12,0,
funtimefamily12,2,"Blakeslee, PA","The park itself is small. Homeless sleeping on benches. I wanted to take my daughter's picture in front of the statue and a man came over to us and said he would take our picture together. I handed my camera, he took a couple of picutes gave me my camera back and asked for money for doing this. I said thank you, but I wasn't paying him and we walked away. We left the park feeling uncomfortable, but as we were walking the outer edge of the park he was doing it to other people and they were giving him money. Later on at the Rocky Statue we saw him there doing the same thing! We go to NYC often and I have never had people do anything like this. Also the police presence was REALLY lacking.",May-12,07-May-12,0,Family
bizbaz99,4,kansas city,"Close to city center, walkable, smaller than I thought, but still great to see! Thought it was going to be sitting on the ground, but it was on a platform.",Apr-12,30-Apr-12,0,Friends
Cmorgan,3,"Newport, UK",The statue is situated in the center and you can easily see it if you walk to Museum of Art or to the City Hall.,May-11,24-Apr-12,1,Friends
rct2trip,3,"Ontario Center, NY","I didn't know this famous sculpture by city hall was so small!! When I first saw it, I thought it must be a model of the real one! That's why it's good to travel and see things in person. Perspective.",Apr-12,16-Apr-12,0,
BaseballFan5,4,"Chicago, IL","Great place in Philly for that ""Kodak moment""!! I was a little surprised by the large groups of people who congregate here and just seem to hang out. Was confronted twice by the same guy wanting to take our family's picture - didn't really care for that, but there weren't any other problems.",Jul-12,29-Jul-12,0,Family
tommypee1,3,Finland,The actual letters are smaller than I imagined. There is also lots of homeless people nearby this park.,Jul-12,18-Jul-12,0,Couples
PASunshine47,2,Pennsylvania,I know this is a site seeing spot for out of towners but watch out for all the homeless people that hang there. Can be kinda creapy.,Jul-12,17-Jul-12,0,
Danielle D,5,"Charlotte, NC",The fountain and the iconic Philly monument here are the perfect spot to grab some lunch and sit & eat with a friend or on a date. Love this section of Philly.,,16-Jul-12,0,
JaneS535,5,Alaska,Took a stroll through the park. It was one of the places listed to see - when new to the city. I enjoyed it - and it was also a great spot to people watch.,May-12,06-Jul-12,0,
Mec224,3,"Philadelphia, PA","If you're wandering around north of market street and need a place to rest, love park is a good place to take a breather. If you're there during the week during the morning or lunch time you should also definitely check out the food carts - the burger cart in particular is very good and though I've never eaten at the pizza cart, the long lines for it attest to its popularity. Otherwise, there's not much to see/do in the park. You might want to consider checking out sister cities park on the other side of ben franklin parkway - I thin its more charming and there's an adorable cafe in the center of it now, Milk and Honey that's open till at least 7pm.",Jul-12,03-Jul-12,0,
jajabear,3,South Jersey,"My one girlfriend, during her bachelorette party, we took her to this site and about 10 of us interrupted these few skaters so we could take a few photos in front of this great art piece!! It's definitely a memory she won't forget",Apr-12,28-Jun-12,0,
Mike T,4,"Washington DC, DC",Walked with food to here from Reading Terminal Market to eat. There is a nice big fountain to look at to get peace from the busy downtown area. You should definitely walk through the park during your visit.,Jun-12,04-Jun-12,0,Friends
George W,3,"Turnersville, New Jersey",every needs their picture with this iconic statue. The view down JFK blvd is nice. It is always really really crowded here though. And also littered with the homeless.,,01-Jun-12,0,
mram28,5,"Philadelphia, PA","There's always something fun happening in Love Park, especially on weekdays.",May-12,25-May-12,0,
dMoniqueRenee,4,"Orlando, FL","With that said you have to come to love park if only to take a photo in front of the sign. Yes, you'll see homeless people, derelicts, street peddlers, break dancers, skateboarders and business men/women cutting through a short cut to get back to their offices.

The good thing is every is harmless and enjoying their slice of the city so come on down to love park",Sep-11,20-Aug-12,1,Business
Woohoo451,2,"Branchville, NJ","Not quite sure why this is such a landmark. It's a very small statue in a very busy park. We didn't even bother to stop. There is so much more to see in Philly than this, and I wouldn't waste my time on it.",Aug-12,20-Aug-12,0,Friends
Edward E,2,"Easton, Pennsylvania, United States","Full of homeless people and lout. Dirty people swimming in the fountain and the water mist sprays anyone nearby. City version of ""people of WalMart""",Aug-12,16-Aug-12,0,
Adam P,5,"Binghamton, NY","Seen the fake one in NYC. This one is far better. Very helpful guys move you to the front of the line to take pictures for a small tip. It is worth it. Trust me. Don't be the schmuck standing at the back of the crowd, you will never get a picture that way.",,12-Aug-12,0,
SoaringEagle78634,2,"Austin, TX","Not impressed. You can literally stand underneath the sign. Busy park, questionable people hanging around for those that aren't used to ""big city"" inhabitants. not even a good photo op.",,12-Aug-12,0,
UmTareq,3,"Kuwait City, Kuwait","A Philadelphia landmark, it was fun to see a bride and groom visit the LOVE sign for a photo op on their big day.

However, it was unappealing seeing kids of all ages (some in their twenties or thirties) cross into the fountain and splash around. What a sight, definitely took away from the beauty of the place.",Aug-12,12-Aug-12,0,Family
jaimeanne,4,"Pittsburgh, PA","Kids had a very nice time, and it was something nice to stop and see for the whole family. Great picture place too.",Aug-12,07-Aug-12,0,Business
Nitesfury,2,"Reading, PA","Yesterday the skaters were videotaping and it was a little crowded as people were standing in the fountain. The park more like a courtyard of a building and the Love sculpture is small. It's really like a rest stop when walking from museums area to downtown. It was surrounded by beggars, vagrants, and creepy people as we walked through. Get in line to have your picture taken in front of the sculpture.",Aug-12,06-Aug-12,0,Family
Mustangrockstar,5,"Philadelphia, PA",Its where skateboarders go and tourists take pics but I see alota people who have the love park tat on them n it don't seem like a bad idea cuz it represents where I was born n raised like Will said hahahaha but beware of being hit up left n right for directions and asked for change by bums,,05-Aug-12,0,
Sara S,2,"Ashland, OR",This park is inhabited by homeless people and vagrants. This is not a place that tourists should go after the sun goes down. It was a few blocks from Logan Sq where our hotel was and the walk is nice getting there but the park is intimidating and scary. Vandals had spray painted the elbow macaroni on the other side of the park. We noticed the next day it was painted over. Daylight this park is great and bustling with people. Just beware of the homeless and undesirables.,Dec-11,31-Jul-12,0,Family
JoanG806,4,"Philadelphia, PA","First we went to Macy's to see the light show which is great then walked around the streets christmas shopping then walked the Love Park which had vendors set up with tents, walked around and spent a lovely day in Philadelphia. Took some great pictures under the LOVE sign for memories.",Dec-11,08-Oct-12,0,
Chinue X C,3,"Washington, District of Columbia, United States",People in line to take pictures with the monument.The waterfall is a great backdrop to the statue. There was even a couple posted to take your picture for a small fee.,Oct-12,07-Oct-12,0,Friends
Pnemiller,4,"Kutztown, PA","I came into center city Philadelphia the other day and got off the train near this spot which is also called JFK Plaza. It is a nice little block square park that has the famous Robert Indiana ""LOVE"" sculpture, a Visitors Center, a lovely water fountain in the center that is dyed different colors at times for different events. Some nice places to sit and relax or eat lunch--there were 3 terrific food trucks parked that day. The park is between15th and 18th streets, and JFK Blvd. and Arch St. There is a parking garage under the park and you can get there easily by local transportation--it is right across the street from Suburban Station, a stop on the regional rail line.",Sep-12,26-Sep-12,0,Solo
za_rubezhom,3,"Philadelphia, PA","""Love"" statue is a favorite place of couples to take pictures, but the surrounding area is not that nice - there is a lot of homeless people, and I just don't feel safe there",Oct-11,17-Sep-12,0,
Keykey570,5,"Philadelphia, Pennsylvania, United States",i think love park is a good place to be because my sister went there once with her school and she think it was fun so she took a class picture,Sep-12,15-Sep-12,0,Friends
Rcdallmann,4,Burlington City,"Its just a unique piece of art, and a great place to have your picture taken. Its right in the middle of the city, near the Arts and great restaurants as well.",,06-Sep-12,0,
Charles G,4,"Hobart, Australia","A nice little park in the middle of Philadelphia, with the iconic LOVE statue. A great photo opportunity and a place to relax (and cool off in the fountain!)",Jul-12,04-Sep-12,0,Solo
bjTravelAdvisor,4,"Menlo Park, CA","My son loved it and got himself all wet wading. I wasn't sure if there was a sign forbidding that but many people were wading including adults and no one seemed to stop them.

This is a very crowded park. Everyone wants to be there to take a picture with the LOVE sign. NYC has a bigger sign though.",Aug-12,02-Sep-12,0,Family
Priscilla P,2,"Fort Lauderdale, FL","This park has a beautiful fountain and the famous Love statue, but it has a huge homeless population. We had to walk near it as it got dark after dinner, and it was scary. I was with my three kids and definitely didn't feel comfortable.",Jul-12,24-Aug-12,0,Family
Carrie O,3,"Burlington, NJ","Though I've heard there are movies & such there on summer evenings, on a non-event spring day, it's just a place to pass through. Meh.",Apr-12,23-Aug-12,0,
TinaHH123,3,"London, UK","Its an icon of the city, and you will probably just come across it anyway. It's much smaller than I thought it would be and it's just in an average small park. There were Xmas markets on when we visited, so that was cute. If you want your photo together, there is generally someone hanging around that will do it for you, for a tip of course!",Nov-12,26-Nov-12,0,Couples
KidAwesome,4,"Chicago, IL","And if you ever used to skateboard go to pay your respects to this legendary spot. Other than that it's just park, but it's easy to get to and worth the stop for a philly icon.",Nov-12,23-Nov-12,0,Couples
larryhack,4,"Columbus, OH","Nice little park in the center of town. We checked out the Christmas Village after the Thanksgiving Day parade. There was a nice mix of crafts, arts, and gifts. We didn't expect to Christmas shop while here, but we purchased two gifts.",,22-Nov-12,0,
Jean-PaulV1000,4,"Panama City, Panama","Get to the JFK... or love park on Ben Franklyn Parkway
ON our short visit we walk all the way to the park, it was really nice to sit down a bit.
All though it was a hot sunny day so we need it some shade.
We got to the PKK for some waters and walked to the nearest irish pub/restaurant...
The ample park in the center of town its nice but there were lots homeless people on the area a bit unfortable for a visit. They were on their own bussiness but as a first time visit we felt that we shouldnt stay long.

This is a must visit to your tour list on Philly.",Jul-12,21-Nov-12,0,Family
JillB3333,5,"Philadelphia, PA","Love Park is a great place to walk around and take photos. I've went a few times with my boyfriend, family and friends who have visited from out of town. The only downside is that a lot of homeless people stay around it to ask for money from tourists.",Sep-12,16-Nov-12,0,
JackTorranceofPhilly,3,"Copenhagen, Denmark7","If you're a visitor you need to get your picture taken in front of the Indiana Sculpture and probably a friendly man will volunteer immediately, asking a dollar afterwards. It's worth it, but not a place you'll hang around for long, so go immediately to Rittenhouse Square if you want a sense of quiet park life in Philly.",,14-Nov-12,0,
Grace G,3,"Los Angeles, California","Nice to see some green space amid all the high rises in Philly, but this park is unfortunately filled with a lot of homeless folks which makes one feel not so safe and like you are interfering with someone's personal ""home"" space!",Nov-12,11-Nov-12,0,
MARCRISTONELLI,3,"Denville, NJ","great place to stop for a picture, but after that not much to do. People looking to take your picture for money are usually standing around as well.",Oct-12,05-Nov-12,0,Couples
Diana B,5,"Coplay, PA",Such a nice place to go. Look some pictures with my fiance here and used it for our Save-the-Date! Very nice for a fall day stroll!,Jun-12,24-Oct-12,0,
craigger20,4,"Ottawa, Canada",It's a great park and it's neat to see and have your picture taken with the love statue. We went once early in the day and it was great. We went a second time in the evening and it was jam packed with skateboarders. It felt like we were going to get a deck in the ankle any minute and it didn't make for the best pictures.,Oct-12,16-Oct-12,0,Couples
smilingtrips,3,"Vestal, NY","Well, it was packed with people - really packed - and there was no parking to be found, so we had to settle for driving around the area two (or was it three?) times looking for some place to park so we could get closer. Couldn't find a spot to park unfortunately, so we drove around and said - OK - we saw it -- and headed over to the museum area. Not really sure if it would have been worth getting out of the car or if it just would have been a silly touristy thing to do. It was Valentine's Day, so we had to give it a shot :)",Feb-13,17-Feb-13,0,Couples
Joanne E,3,Bensalem,Go downtown at Christmas every year to visit Christmas displays and see the LOVE fountain frozen over.,Dec-12,12-Feb-13,0,
Kim A,3,"Wayne, PA","Besides the famous LOVE sculpture, there isn't much special about Love Park. There is a nice round fountain with a seating area around it. In the summer children will put their feet in. It is steps away from Suburban Station, so it is worth at least walking through. There are food trucks and carts around that serve some great cheap eats. Sometimes there is special entertainment, but it is just mediocre.",Sep-12,10-Jan-13,0,
Phillies 1,1,"Philadelphia, PA","Dirty, dangerous and gross. This potentially beatiful area is not vibrant, not clean, not friendly and not well utilized. The city needs to tear this chunk of old real estate up and rebuild it.",Dec-12,28-Dec-12,0,
Nicole C,1,"Philadelphia, PA","With all the beautiful places we have in the city and near by, I don’t really get why people rate this place as one of the main or most important attractions/places to visit in Philly. I mean, really? The world LOVE is very pretty, of course, but meaningless here. The park is not a big deal in terms of architecture and it doesn’t have any particular historical importance. Besides the surrounding and the park it self are VERY dangerous. It is very well known in Philly that homeless people and robbers hang out there. If what people like is to be photographed with a sing that says LOVE while being robbed this is the place where you should go. I completely dislike it.",Nov-12,16-Dec-12,0,Friends
